,Time,HR,HR-LP,Tb,Tb Transformed
0,2013-11-30 17:00,0.0,0.01069940461140247,1.643,5.014501970798867
1,2013-11-30 17:04,0.0,0.011758492137213247,1.645,5.016314717148726
2,2013-11-30 17:08,0.0,0.012922414130741286,1.645,5.016314717148726
3,2013-11-30 17:12,0.0,0.014201547699972207,1.643,5.014501970798867
4,2013-11-30 17:16,0.0,0.015607297137676272,1.647,5.018127463498584
5,2013-11-30 17:20,0.0,0.017152195597962515,1.646,5.017221090323655
6,2013-11-30 17:24,0.0,0.018850016837352723,1.645,5.016314717148726
7,2013-11-30 17:28,0.0,0.020715898016618318,1.645,5.016314717148726
8,2013-11-30 17:32,0.0,0.02276647465823696,1.644,5.015408343973797
9,2013-11-30 17:36,0.0,0.025020028962700766,1.642,5.013595597623938
10,2013-11-30 17:40,0.0,0.027496652806010807,1.645,5.016314717148726
11,2013-11-30 17:44,0.0,0.030218426871584606,1.647,5.018127463498584
12,2013-11-30 17:48,0.0,0.03320961751365206,1.645,5.016314717148726
13,2013-11-30 17:52,0.0,0.03649689310730266,1.647,5.018127463498584
14,2013-11-30 17:56,0.0,0.04010956181408287,1.649,5.019940209848443
15,2013-11-30 18:00,0.0,0.044079832882975865,1.648,5.019033836673514
16,2013-11-30 18:04,0.0,0.04844310381642868,1.65,5.0208465830233715
17,2013-11-30 18:08,0.0,0.05323827596169547,1.649,5.019940209848443
18,2013-11-30 18:12,0.0,0.05850810134119504,1.648,5.019033836673514
19,2013-11-30 18:16,0.0,0.06429956381409709,1.646,5.017221090323655
20,2013-11-30 18:20,0.0,0.07066429796743591,1.646,5.017221090323655
21,2013-11-30 18:24,0.0,0.07765904947143361,1.645,5.016314717148726
22,2013-11-30 18:28,0.0,0.08534618100339429,1.645,5.016314717148726
23,2013-11-30 18:32,0.0,0.09379422825080422,1.646,5.017221090323655
24,2013-11-30 18:36,0.0,0.10307851095076043,1.646,5.017221090323655
25,2013-11-30 18:40,0.0,0.11328180441353472,1.645,5.016314717148726
26,2013-11-30 18:44,0.0,0.12449507751733453,1.648,5.019033836673514
27,2013-11-30 18:48,0.0,0.13681830375395518,1.649,5.019940209848443
28,2013-11-30 18:52,0.0,0.15036135255631375,1.648,5.019033836673514
29,2013-11-30 18:56,0.0,0.16524496885461865,1.648,5.019033836673514
30,2013-11-30 19:00,0.0,0.18160184959454395,1.645,5.016314717148726
31,2013-11-30 19:04,0.0,0.19957782681525546,1.642,5.013595597623938
32,2013-11-30 19:08,0.0,0.21933316783518483,1.642,5.013595597623938
33,2013-11-30 19:12,0.0,0.2410440041375384,1.642,5.013595597623938
34,2013-11-30 19:16,0.0,0.2649039016949676,1.643,5.014501970798867
35,2013-11-30 19:20,0.0,0.2911255867338484,1.642,5.013595597623938
36,2013-11-30 19:24,0.0,0.31994284232446085,1.645,5.016314717148726
37,2013-11-30 19:28,0.0,0.35161259270638096,1.646,5.017221090323655
38,2013-11-30 19:32,0.0,0.3864171939321777,1.646,5.017221090323655
39,2013-11-30 19:36,0.0,0.4246669512519665,1.646,5.017221090323655
40,2013-11-30 19:40,0.0,0.46670288568291024,1.642,5.013595597623938
41,2013-11-30 19:44,0.0,0.5128997744294023,1.641,5.012689224449009
42,2013-11-30 19:48,0.0,0.563669492261219,1.639,5.010876478099151
43,2013-11-30 19:52,0.0,0.6194646836401625,1.638,5.009970104924221
44,2013-11-30 19:56,0.0,0.6807827983345482,1.64,5.01178285127408
45,2013-11-30 20:00,0.0,0.7481705265016173,1.64,5.01178285127408
46,2013-11-30 20:04,0.0,0.8222286727794671,1.641,5.012689224449009
47,2013-11-30 20:08,0.0,0.9036175128441424,1.627,5.0
48,2013-11-30 20:12,0.0,0.9930626801890146,1.642,5.013595597623938
49,2013-11-30 20:16,0.0,1.0913616356108473,1.64,5.01178285127408
50,2013-11-30 20:20,0.0,1.199390777082149,1.638,5.009970104924221
51,2013-11-30 20:24,0.0,1.3181132533988658,1.64,5.01178285127408
52,2013-11-30 20:28,0.0,1.4485875512670734,1.636,5.008157358574363
53,2013-11-30 20:32,0.0,1.5919769323880326,1.636,5.008157358574363
54,2013-11-30 20:36,0.0,1.7495598046792478,1.637,5.0090637317492925
55,2013-11-30 20:40,0.0,1.9227411200975877,1.636,5.008157358574363
56,2013-11-30 20:44,0.0,2.1130649006833444,1.637,5.0090637317492925
57,2013-11-30 20:48,0.0,2.3222280045029104,1.636,5.008157358574363
58,2013-11-30 20:52,0.0,2.552095254222248,1.636,5.008157358574363
59,2013-11-30 20:56,0.0,2.804716063192045,1.639,5.010876478099151
60,2013-11-30 21:00,0.0,3.082342707276724,1.638,5.009970104924221
61,2013-11-30 21:04,0.0,3.387450405332335,1.639,5.010876478099151
62,2013-11-30 21:08,0.0,3.7227593873636144,1.637,5.0090637317492925
63,2013-11-30 21:12,0.0,4.091259147111925,1.631,5.003625492699717
64,2013-11-30 21:16,0.0,4.496235095301393,1.633,5.0054382390495755
65,2013-11-30 21:20,0.0,4.941297851173951,1.63,5.002719119524787
66,2013-11-30 21:24,0.0,5.430415433466034,1.63,5.002719119524787
67,2013-11-30 21:28,0.0,5.967948637830041,1.631,5.003625492699717
68,2013-11-30 21:32,0.0,6.558689916112882,1.63,5.002719119524787
69,2013-11-30 21:36,0.0,7.207906104125196,1.632,5.004531865874646
70,2013-11-30 21:40,0.0,7.921385378846607,1.63,5.002719119524787
71,2013-11-30 21:44,0.0,8.705488863720486,1.631,5.003625492699717
72,2013-11-30 21:48,0.0,9.567207342132386,1.634,5.006344612224504
73,2013-11-30 21:52,0.0,10.51422358470904,1.637,5.0090637317492925
74,2013-11-30 21:56,0.0,11.554980846125588,1.64,5.01178285127408
75,2013-11-30 22:00,0.0,12.698758142113833,1.641,5.012689224449009
76,2013-11-30 22:04,0.0,13.955752977814127,1.644,5.015408343973797
77,2013-11-30 22:08,0.0,15.337172265046986,1.648,5.019033836673514
78,2013-11-30 22:12,0.0,16.855332239089982,1.651,5.021752956198301
79,2013-11-30 22:16,0.0,18.5237682657818,1.653,5.02356570254816
80,2013-11-30 22:20,0.0,20.35735551795391,1.655,5.025378448898018
81,2013-11-30 22:24,0.0,22.372441597097342,1.659,5.029003941597735
82,2013-11-30 22:28,0.0,24.586992282671435,1.66,5.029910314772664
83,2013-11-30 22:32,0.0,27.020751708502694,1.66,5.029910314772664
84,2013-11-30 22:36,0.0,29.695418394348714,1.664,5.033535807472381
85,2013-11-30 22:40,0.0,32.634838702060975,1.663,5.032629434297452
86,2013-11-30 22:44,0.0,35.86521944113175,1.666,5.03534855382224
87,2013-11-30 22:48,0.0,39.41536151913938,1.669,5.038067673347027
88,2013-11-30 22:52,0.0,43.3169167202349,1.675,5.043505912396602
89,2013-11-30 22:56,0.0,47.60466990101415,1.689,5.056195136845612
90,2013-11-30 23:00,36.0,52.23660837130558,1.699,5.065258868594904
91,2013-11-30 23:04,24.0,57.12029424034538,1.724,5.0879181979681345
92,2013-11-30 23:08,25.0,62.27029286111414,1.77,5.129611364014878
93,2013-11-30 23:12,30.0,67.74366430908499,1.836,5.1894319935602065
94,2013-11-30 23:16,39.0,73.54462899306556,1.904,5.251065369455393
95,2013-11-30 23:20,39.0,79.6736412957654,1.996,5.334451701548882
96,2013-11-30 23:24,40.0,86.16305617976421,2.118,5.445029228890246
97,2013-11-30 23:28,45.0,93.05512855588364,2.269,5.581891578304558
98,2013-11-30 23:32,49.0,100.37787200624254,2.44,5.736881391217454
99,2013-11-30 23:36,55.0,108.15422418194821,2.655,5.931751623827235
100,2013-11-30 23:40,60.0,116.40670912626368,2.856,6.113932631988009
101,2013-11-30 23:44,67.0,125.15763809083977,3.115,6.348683284294676
102,2013-11-30 23:48,76.0,134.42262172573862,3.383,6.591591295175706
103,2013-11-30 23:52,84.0,144.21070925834962,3.67,6.851720396380392
104,2013-11-30 23:56,96.0,154.52669808271006,3.97,7.123632348859157
105,2013-12-01 0:00,108.0,165.36448980230156,4.282,7.406420779437074
106,2013-12-01 0:04,122.0,176.70926476862857,4.643,7.733621495586521
107,2013-12-01 0:08,139.0,188.53512104490787,5.021,8.076230555709765
108,2013-12-01 0:12,168.0,200.77586764793764,5.418,8.436060706156665
109,2013-12-01 0:16,201.0,213.29991640674154,5.805,8.786827124854272
110,2013-12-01 0:20,254.0,225.88904858287063,6.217,9.16025287292511
111,2013-12-01 0:24,328.0,238.18074656900797,6.835,9.720391495031368
112,2013-12-01 0:28,392.0,249.69393763877497,7.54,10.359384583356466
113,2013-12-01 0:32,381.0,260.10554749560004,8.708,11.418028451673791
114,2013-12-01 0:36,342.0,269.50171556236256,10.404,12.955237356353745
115,2013-12-01 0:40,339.0,278.1712743692651,13.32,15.598221534447344
116,2013-12-01 0:44,352.0,286.2628436801525,16.329,18.32549841780936
117,2013-12-01 0:48,342.0,293.8195891778096,19.855,21.521370232609783
118,2013-12-01 0:52,355.0,300.8955106168762,22.375,23.805430633431413
119,2013-12-01 0:56,387.0,307.44670669190367,26.953,27.95480702825737
120,2013-12-01 1:00,420.0,313.2864054356056,29.386,30.160012962860158
121,2013-12-01 1:04,397.0,318.29950326629154,30.8,31.441624632210072
122,2013-12-01 1:08,391.0,322.57304443694966,31.461,32.04073730083829
123,2013-12-01 1:12,387.0,326.232057774149,32.644,33.11297676677955
124,2013-12-01 1:16,393.0,329.32699699628193,33.463,33.85529639704658
125,2013-12-01 1:20,367.0,331.9255758375081,33.771,34.13445933492478
126,2013-12-01 1:24,401.0,334.07770920408797,34.209,34.531450785543775
127,2013-12-01 1:28,363.0,335.7936691008683,34.665,34.9447569533115
128,2013-12-01 1:32,324.0,337.269296090296,34.632,34.91484663853883
129,2013-12-01 1:36,380.0,338.6514809101959,34.783,35.05170898795315
130,2013-12-01 1:40,372.0,339.8076674919552,35.257,35.481329872869594
131,2013-12-01 1:44,388.0,340.62334503542627,35.424,35.63269419308277
132,2013-12-01 1:48,383.0,341.06343654300224,35.316,35.53480589019042
133,2013-12-01 1:52,384.0,341.11626334381623,35.607,35.79856048409482
134,2013-12-01 1:56,345.0,340.87591062903607,35.792,35.96623952145673
135,2013-12-01 2:00,383.0,340.4271629781547,35.53,35.72876974962527
136,2013-12-01 2:04,384.0,339.6813209514597,35.783,35.95808216288236
137,2013-12-01 2:08,290.0,338.752096013543,35.681,35.86563209903957
138,2013-12-01 2:12,377.0,337.8540944984249,35.8,35.97349050685616
139,2013-12-01 2:16,381.0,336.7920817360371,36.006,36.16020338089157
140,2013-12-01 2:20,295.0,335.53652901717396,36.049,36.19917742741353
141,2013-12-01 2:24,294.0,334.45292802307574,35.812,35.98436698495531
142,2013-12-01 2:28,346.0,333.6118585071953,35.884,36.04962585355021
143,2013-12-01 2:32,346.0,332.77624410070905,35.927,36.08859990007217
144,2013-12-01 2:36,310.0,331.90297221260846,35.827,35.99796258257925
145,2013-12-01 2:40,354.0,331.04666653723837,35.773,35.94901843113307
146,2013-12-01 2:44,351.0,330.09047598832143,35.922,36.084068034197514
147,2013-12-01 2:48,358.0,328.92557458084866,35.916,36.07862979514795
148,2013-12-01 2:52,301.0,327.64410631994514,35.928,36.089506273247096
149,2013-12-01 2:56,282.0,326.51548871706535,35.647,35.83481541109199
150,2013-12-01 3:00,328.0,325.6388759996626,35.4,35.61094123688447
151,2013-12-01 3:04,314.0,324.8749469344244,35.508,35.70882953977683
152,2013-12-01 3:08,226.0,324.3729142832975,35.505,35.706110420252045
153,2013-12-01 3:12,359.0,324.255349956217,35.524,35.72333151057569
154,2013-12-01 3:16,351.0,324.1422911467703,35.603,35.79493499139511
155,2013-12-01 3:20,343.0,323.78977870850133,35.735,35.91457625048576
156,2013-12-01 3:24,288.0,323.37075363247067,35.695,35.87832132348859
157,2013-12-01 3:28,330.0,323.0508771780549,35.554,35.75052270582357
158,2013-12-01 3:32,347.0,322.724767597142,35.685,35.8692575917393
159,2013-12-01 3:36,306.0,322.31150557577934,35.799,35.97258413368123
160,2013-12-01 3:40,305.0,321.954514657872,35.918,36.0804425414978
161,2013-12-01 3:44,324.0,321.7041058736559,36.017,36.17017348581581
162,2013-12-01 3:48,298.0,321.53352866241664,36.048,36.1982710542386
163,2013-12-01 3:52,293.0,321.5259607871492,35.94,36.100382751346245
164,2013-12-01 3:56,202.0,321.9644063045826,35.628,35.817594320768336
165,2013-12-01 4:00,329.0,322.9865088172568,35.708,35.89010417476267
166,2013-12-01 4:04,334.0,324.22692419591374,35.794,35.968052267806584
167,2013-12-01 4:08,394.0,325.2576163292585,35.811,35.98346061178038
168,2013-12-01 4:12,403.0,325.78910059905706,35.785,35.95989490923222
169,2013-12-01 4:16,372.0,325.72135677215124,37.157,37.2034389052351
170,2013-12-01 4:20,391.0,325.1295637981245,36.978,37.04119810692278
171,2013-12-01 4:24,398.0,323.9772407291278,36.615,36.71218464442347
172,2013-12-01 4:28,382.0,322.21622240446146,36.272,36.40129864542275
173,2013-12-01 4:32,352.0,319.95339825329194,36.069,36.21730489091212
174,2013-12-01 4:36,302.0,317.4494363725062,35.869,36.03603025592628
175,2013-12-01 4:40,327.0,314.9160478588651,36.001,36.155671515016934
176,2013-12-01 4:44,320.0,312.34624830340823,35.803,35.97620962638095
177,2013-12-01 4:48,257.0,309.83302960501413,35.659,35.845691889191144
178,2013-12-01 4:52,244.0,307.679405626821,35.484,35.68707658357852
179,2013-12-01 4:56,335.0,305.86171761615634,35.406,35.616379475934046
180,2013-12-01 5:00,307.0,304.0494834587523,35.277,35.49945733636818
181,2013-12-01 5:04,209.0,302.36696723934244,35.161,35.394318048076386
182,2013-12-01 5:08,286.0,301.1268179739248,35.045,35.289178759784605
183,2013-12-01 5:12,302.0,300.15749744284483,35.003,35.251111086437575
184,2013-12-01 5:16,230.0,299.3678938763444,34.938,35.192196830067175
185,2013-12-01 5:20,340.0,298.7910878285105,34.721,34.99551385110753
186,2013-12-01 5:24,301.0,298.178985550055,34.739,35.011828568256256
187,2013-12-01 5:28,264.0,297.53727430659967,34.743,35.015454060955975
188,2013-12-01 5:32,303.0,297.02517214874877,34.795,35.0625854660523
189,2013-12-01 5:36,300.0,296.553414790895,34.757,35.02814328540499
190,2013-12-01 5:40,279.0,296.0910492987329,34.684,34.961978043635156
191,2013-12-01 5:44,307.0,295.67184485311515,34.622,34.90578290678954
192,2013-12-01 5:48,236.0,295.37230472708364,34.529,34.82149020152113
193,2013-12-01 5:52,330.0,295.23433652266453,34.462,34.76076319880087
194,2013-12-01 5:56,300.0,295.06279502316283,34.524,34.816958335646476
195,2013-12-01 6:00,306.0,294.7669944394042,34.587,34.87405984566702
196,2013-12-01 6:04,290.0,294.42008044932163,34.573,34.86137062121801
197,2013-12-01 6:08,269.0,294.1237188480047,34.558,34.84777502359407
198,2013-12-01 6:12,288.0,293.96219485994936,34.524,34.816958335646476
199,2013-12-01 6:16,238.0,294.00762241502514,34.511,34.8051754843724
200,2013-12-01 6:20,291.0,294.3228159998991,34.606,34.89128093599068
201,2013-12-01 6:24,246.0,294.88606776023533,34.633,34.91575301171376
202,2013-12-01 6:28,283.0,295.7023994452341,34.822,35.08705754177538
203,2013-12-01 6:32,266.0,296.75234225712757,34.913,35.16953750069394
204,2013-12-01 6:36,280.0,298.0073656421622,34.834,35.097934019874536
205,2013-12-01 6:40,249.0,299.52323712898686,34.869,35.12965708099706
206,2013-12-01 6:44,270.0,301.3736522414348,34.916,35.17225662021873
207,2013-12-01 6:48,231.0,303.6375180831178,34.906,35.16319288846944
